fuel_frac,fuel_percent,fuel_mass_kg,a0,cl_max,cd_cl_max,eta,CL_max,CD_max,W0_N,m0_kg,V_to_mps,V_to_kts,L_N,D_N,T_to_N,x_to_m,x_to_ft,runway_ok,t_to_s,mf_rate_to,mf_total_to,W_to_N
0.17,17,43690,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3144894.5885,320690,104.179833204872,202.508926976959,4528648.20744,361721.701333827,622751.026142,4166.058090049,13668.1700241564,0,39.9891030911553,8.81985163888889,352.697956436223,3141435.80308551
0.169,16.9,43433,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3142374.27945,320433,104.138080135743,202.427765691062,4525018.962408,361431.818651976,622751.026142,4157.74811075609,13640.906311693,0,39.9253386017537,8.81985163888889,352.135563099871,3138921.00923013
0.168,16.8,43176,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3139853.9704,320176,104.096310319443,202.346571851345,4521389.717376,361141.935970125,622751.026142,4149.45001026176,13613.6815716672,0,39.8616434869617,8.81985163888889,351.573781637284,3136406.20937431
0.167,16.7,42919,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3137333.66135,319919,104.054523735804,202.265345418606,4517760.472344,360852.053288274,622751.026142,4141.16377456604,13586.4957581473,0,39.7980176727396,8.81985163888889,351.012611395442,3133891.40352446
0.166,16.6,42662,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3134813.3523,319662,104.012720364619,202.184086353561,4514131.227312,360562.170606423,622751.026142,4132.88938969098,13559.3488252738,0,39.7344610851736,8.81985163888889,350.452051722435,3131376.59168698
0.165,16.5,42405,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3132293.04325,319405,103.970900185637,202.102794616849,4510501.98228,360272.287924572,622751.026142,4124.62684168056,13532.2407272592,0,39.6709736504748,8.81985163888889,349.892101967458,3128861.77386824
0.164,16.4,42148,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3129772.7342,319148,103.929063178569,202.02147016903,4506872.737248,359982.405242721,622751.026142,4116.37611660065,13505.1714183881,0,39.60755529498,8.81985163888889,349.332761480811,3126346.95007462
0.163,16.3,41891,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3127252.42515,318891,103.887209323085,201.940112970585,4503243.492216,359692.52256087,622751.026142,4108.13720053901,13478.1408530164,0,39.5442059451505,8.81985163888889,348.774029613895,3123832.12031249
0.162,16.2,41634,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3124732.1161,318634,103.845338598811,201.858722981913,4499614.247184,359402.639879019,622751.026142,4099.91007960521,13451.148985572,0,39.4809255275725,8.81985163888889,348.21590571921,3121317.28458818
0.161,16.1,41377,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3122211.80705,318377,103.803450985336,201.777300163336,4495985.002152,359112.757197168,622751.026142,4091.69473993059,13424.1957705539,0,39.4177139689566,8.81985163888889,347.658389150356,3118802.44290804
0.16,16,41120,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3119691.498,318120,103.761546462205,201.695844475093,4492355.75712,358822.874515317,622751.026142,4083.49116766821,13397.2811625326,0,39.3545711961377,8.81985163888889,347.101479262025,3116287.59527839
0.159,15.9,40863,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3117171.18895,317863,103.719625008924,201.614355877346,4488726.512088,358532.991833466,622751.026142,4075.29934899286,13370.4051161498,0,39.2914971360747,8.81985163888889,346.545175410006,3113772.74170557
0.158,15.8,40606,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3114650.8799,317606,103.677686604954,201.532834330174,4485097.267056,358243.109151615,622751.026142,4067.11927010096,13343.567586118,0,39.2284917158502,8.81985163888889,345.989476951181,3111257.88219586
0.157,15.7,40349,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3112130.57085,317349,103.635731229718,201.451279793576,4481468.022024,357953.226469764,622751.026142,4058.95091721051,13316.7685272209,0,39.1655548626705,8.81985163888889,345.434383243517,3108743.01675556
0.156,15.6,40092,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3109610.2618,317092,103.593758862596,201.369692227469,4477838.776992,357663.343787913,622751.026142,4050.79427656112,13290.0078943128,0,39.1026865038652,8.81985163888889,344.879893646074,3106228.14539098
0.155,15.5,39835,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3107089.95275,316835,103.551769482926,201.288071591691,4474209.53196,357373.461106062,622751.026142,4042.64933441388,13263.2856423184,0,39.0398865668871,8.81985163888889,344.326007518995,3103713.26810836
0.154,15.4,39578,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3104569.6437,316578,103.509763070004,201.206417845997,4470580.286928,357083.578424211,622751.026142,4034.51607705139,13236.6017262333,0,38.9771549793117,8.81985163888889,343.772724223508,3101198.38491399
