fuel_frac,fuel_percent,fuel_mass_kg,a0,cl_max,cd_cl_max,eta,CL_max,CD_max,W0_N,m0_kg,V_to_mps,V_to_kts,L_N,D_N,T_to_N,x_to_m,x_to_ft,runway_ok,t_to_s,mf_rate_to,mf_total_to,W_to_N
1,100,257000,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,5236751.1,534000,134.434760397093,261.319664650286,7540921.584,602324.327270147,622751.026142,17150.2451415549,56267.2102702188,0,127.57299593421,8.81985163888889,1125.17489726831,5225716.9035937
0.99,99,254430,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,5211548.0095,531430,134.110870851909,260.690075196774,7504629.13368,599425.500451637,622751.026142,16886.9512573141,55403.3851630464,0,125.917840589981,8.81985163888889,1110.57667269289,5200656.97277274
0.98,98,251860,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,5186344.919,528860,133.786197188988,260.058961543842,7468336.68336,596526.673633127,622751.026142,16627.4822135382,54552.1087454645,0,124.2839886543,8.81985163888889,1096.16634102028,5175595.19935183
0.97,97,249290,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,5161141.8285,526290,133.460733685695,259.426312567602,7432044.23304,593627.846814617,622751.026142,16371.7721579682,53713.1649667484,0,122.671078644932,8.81985163888889,1081.94071403077,5150531.61459675
0.96,96,246720,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,5135938.738,523720,133.134474549447,258.792117008198,7395751.78272,590729.019996108,622751.026142,16119.7567414233,52886.3427075314,0,121.078757369011,8.81985163888889,1067.8966766157,5125466.24905627
0.95,95,244150,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,5110735.6475,521150,132.807413916509,258.156363467466,7359459.3324,587830.193177598,622751.026142,15871.3730751591,52071.4356399051,0,119.506679688356,8.81985163888889,1054.03118470752,5100399.13258249
0.94,94,241580,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,5085532.557,518580,132.479545850762,257.519040406546,7323166.88208,584931.366359088,622751.026142,15626.5596896697,51268.2420922559,0,117.954508292721,8.81985163888889,1040.34126327989,5075330.29435046
0.93,93,239010,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,5060329.4665,516010,132.150864342454,256.880136143435,7286874.43176,582032.539540578,622751.026142,15385.2564948766,50476.5649186509,0,116.421913480698,8.81985163888889,1026.82400441531,5050259.7628771
0.92,92,236440,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,5035126.376,513440,131.821363306905,256.239638850494,7250581.98144,579133.712722068,622751.026142,15147.4047416502,49696.2113725958,0,114.908572947954,8.81985163888889,1013.4765654374,5025187.56603955
0.91,91,233870,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,5009923.2855,510870,131.4910365832,255.597536551887,7214289.53112,576234.885903558,622751.026142,14912.9469846124,48926.9929849958,0,113.414171582535,8.81985163888889,1000.29616710545,5000113.73109285
0.9,90,231300,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4984720.195,508300,131.159877932841,254.953817120974,7177997.0808,573336.059085048,622751.026142,14681.8270461698,48168.7254461558,0,111.938401266945,8.81985163888889,987.280091868863,4975038.28468707
0.89,89,228730,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4959517.1045,505730,130.827881038375,254.308468277635,7141704.63048,570437.232266539,622751.026142,14453.9899817321,47421.2284916658,0,110.480960686754,8.81985163888889,974.425682179089,4949961.25288386
0.88,88,226160,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4934314.014,503160,130.495039501985,253.661477585538,7105412.18016,567538.405448029,622751.026142,14229.3820460682,46684.3257920225,0,109.041555145487,8.81985163888889,961.73033885692,4924882.66117245
0.87,87,223590,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4909110.9235,500590,130.161346844053,253.012832449345,7069119.72984,564639.578629519,622751.026142,14007.9506607592,45957.8448458454,0,107.619896385539,8.81985163888889,949.19151951305,4899802.53448517
0.86,86,221020,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4883907.833,498020,129.82679650169,252.362520111846,7032827.27952,561740.751811009,622751.026142,13789.6443827044,45241.616876552,0,106.215702414908,8.81985163888889,936.806737019865,4874720.8972124
0.85,85,218450,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4858704.7425,495450,129.491381827227,251.710527651037,6996534.8292,558841.924992499,622751.026142,13574.4128736425,44535.4767323612,0,104.828697339519,8.81985163888889,924.573558032544,4849637.77321712
0.84,84,215880,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4833501.652,492880,129.155096086674,251.056841977121,6960242.37888,555943.098173989,622751.026142,13362.2068706492,43839.2627895009,0,103.458611200924,8.81985163888889,912.489601557639,4824553.18584888
0.83,83,213310,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4808298.5615,490310,128.817932458146,250.401449829443,6923949.92856,553044.271355479,622751.026142,13152.9781575757,43152.8168585007,0,102.105179819193,8.81985163888889,900.552537567357,4799467.15795746
0.82,82,210740,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4783095.471,487740,128.479884030244,249.744337773349,6887657.47824,550145.444536969,622751.026142,12946.6795373917,42475.9840934562,0,100.768144640791,8.81985163888889,888.760085657876,4774379.71190598
0.81,81,208170,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4757892.3805,485170,128.140943800404,249.085492196977,6851365.02792,547246.617718459,622751.026142,12743.2648054016,41808.6129041536,0,99.4472525912627,8.81985163888889,877.110013750045,4749290.86958366
0.8,80,205600,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4732689.29,482600,127.801104673206,248.424899307964,6815072.5776,544347.790899949,622751.026142,12542.6887233004,41150.554870953,0,98.1422559325506,8.81985163888889,865.600136830959,4724200.65241815
0.79,79,203030,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4707486.1995,480030,127.460359458637,247.762545130078,6778780.12728,541448.96408144,622751.026142,12344.90699404,40501.6646623261,0,96.8529121247777,8.81985163888889,854.228315734882,4699109.0813875
0.78,78,200460,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4682283.109,477460,127.118700870322,247.098415499767,6742487.67696,538550.13726293,622751.026142,12149.8762374747,39861.7999549564,0,95.5789836923297,8.81985163888889,842.992455962129,4674016.17703174
0.77,77,197890,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4657080.0185,474890,126.776121523699,246.432496062628,6706195.22664,535651.31044442,622751.026142,11957.5539667602,39230.8213563054,0,94.3202380940863,8.81985163888889,831.890506534517,4648921.95946409
0.76,76,195320,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4631876.928,472320,126.432613934163,245.764772269784,6669902.77632,532752.48362591,622751.026142,11767.8985654772,38608.5923295601,0,93.0764475976507,8.81985163888889,820.920458886095,4623826.44838186
0.75,75,192750,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4606673.8375,469750,126.088170515154,245.095229374177,6633610.326,529853.6568074,622751.026142,11580.8692654545,37994.9791208737,0,91.8473891574359,8.81985163888889,810.080345787877,4598729.66307698
0.74,74,190180,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4581470.747,467180,125.742783576204,244.423852426768,6597317.87568,526954.82998889,622751.026142,11396.4261252669,37389.8506888208,0,90.6328442964711,8.81985163888889,799.368240305393,4573631.62244621
0.73,73,187610,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4556267.6565,464610,125.396445320931,243.750626272639,6561025.42536,524056.00317038,622751.026142,11214.5300093836,36793.0786359862,0,89.4325989917968,8.81985163888889,788.782254787892,4548532.34500108
0.72,72,185040,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4531064.566,462040,125.049147844992,243.07553554701,6524732.97504,521157.17635187,622751.026142,11035.1425679447,36204.5371426157,0,88.2464435633226,8.81985163888889,778.320539888087,4523431.84887751
0.71,71,182470,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4505861.4755,459470,124.70088313397,242.398564671137,6488440.52472,518258.349533361,622751.026142,10858.2262171435,35624.102902253,0,87.0741725660283,8.81985163888889,767.981283611379,4498330.15184507
0.7,70,179900,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4480658.385,456900,124.351643061222,241.719697848125,6452148.0744,515359.522714851,622751.026142,10683.7441201939,35051.6550592968,0,85.9155846853905,8.81985163888889,757.762710393539,4473227.27131612
0.69,69,177330,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4455455.2945,454330,124.001419385662,241.038919058626,6415855.62408,512460.695896341,622751.026142,10511.6601688623,34487.0751484102,0,84.7704826359247,8.81985163888889,747.663080205862,4448123.2243545
0.68,68,174760,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4430252.204,451760,123.650203749498,240.356212056424,6379563.17376,509561.869077831,622751.026142,10341.9389655448,33930.247035718,0,83.6386730627349,8.81985163888889,737.680687686854,4423018.0276841
0.67,67,172190,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4405049.1135,449190,123.297987675897,239.671560363916,6343270.72344,506663.042259321,622751.026142,10174.5458058706,33381.0568617324,0,82.5199664459694,8.81985163888889,727.81386129954,4397911.69769709
0.66,66,169620,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4379846.023,446620,122.944762566606,238.984947267471,6306978.27312,503764.215440811,622751.026142,10009.4466618143,32839.3929859469,0,81.4141770080824,8.81985163888889,718.060962513526,4372804.25046197
0.65,65,167050,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4354642.9325,444050,122.590519699496,238.296355812668,6270685.8228,500865.388622301,622751.026142,9846.60816529949,32305.1459330412,0,80.3211226238075,8.81985163888889,708.420385010984,4347695.70173133
0.64,64,164480,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4329439.842,441480,122.235250226053,237.605768799411,6234393.37248,497966.561803791,622751.026142,9685.99759227664,31778.2083406449,0,79.2406247327514,8.81985163888889,698.890553915737,4322586.06694944
0.63,63,161910,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4304236.7515,438910,121.878945168799,236.913168776919,6198100.92216,495067.734985281,622751.026142,9527.58284726024,31258.4749086053,0,78.1725082545206,8.81985163888889,689.469925044689,4297475.36125956
0.62,62,159340,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4279033.661,436340,121.521595418644,236.218538038577,6161808.47184,492168.908166772,622751.026142,9371.33244830897,30745.84234971,0,77.1166015062966,8.81985163888889,680.156984180851,4272363.59951108
0.61,61,156770,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4253830.5705,433770,121.163191732168,235.521858616657,6125516.02152,489270.081348262,622751.026142,9217.21551243467,30240.2093418162,0,76.0727361227774,8.81985163888889,670.95024636724,4247250.79626646
0.6,60,154200,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4228627.48,431200,120.803724728832,234.823112276893,6089223.5712,486371.254529752,622751.026142,9065.20174142568,29741.476481339,0,75.0407469784093,8.81985163888889,661.84825522097,4222136.96580794
0.59,59,151630,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4203424.3895,428630,120.443184888116,234.122280512914,6052931.12088,483472.427711242,622751.026142,8915.26140807096,29249.5462380555,0,74.0204721118318,8.81985163888889,652.849582266869,4197022.12214406
0.58,58,149060,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4178221.299,426060,120.081562546572,233.419344540528,6016638.67056,480573.600892732,622751.026142,8767.36534277182,28764.3229111795,0,73.0117526524653,8.81985163888889,643.952826289996,4171906.27901606
0.57,57,146490,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4153018.2085,423490,119.718847894805,232.714285291839,5980346.22024,477674.774074222,622751.026142,8621.48492052855,28285.7125866669,0,72.0144327491698,8.81985163888889,635.156612706419,4146789.449904
0.56,56,143920,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4127815.118,420920,119.35503097437,232.00708340922,5944053.76992,474775.947255712,622751.026142,8477.59204828987,27813.6230957113,0,71.0283595009103,8.81985163888889,626.459592951693,4121671.64803278
0.55,55,141350,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4102612.0275,418350,118.990101674578,231.297719239111,5907761.3196,471877.120437202,622751.026142,8335.6591526533,27347.9639743911,0,70.053382889362,8.81985163888889,617.86044388645,4096552.88637796
0.54,54,138780,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4077408.937,415780,118.624049729217,230.586172825641,5871468.86928,468978.293618693,622751.026142,8195.6591679053,26888.6464244304,0,69.0893557133949,8.81985163888889,609.357867218563,4071433.17767144
0.53,53,136210,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4052205.8465,413210,118.256864713187,229.872423904082,5835176.41896,466079.466800183,622751.026142,8057.56552439016,26435.5832750402,0,68.1361335253769,8.81985163888889,600.950588941348,4046312.53440696
0.52,52,133640,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4027002.756,410640,117.888536039033,229.156451894115,5798883.96864,463180.639981673,622751.026142,7921.35213719721,25988.6889458021,0,67.193574569239,8.81985163888889,592.637358787306,4021190.96884545
0.51,51,131070,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,4001799.6655,408070,117.519052953382,228.438235892903,5762591.51832,460281.813163163,622751.026142,7786.99339515622,25547.8794105643,0,66.2615397202458,8.81985163888889,584.416949696912,3996068.49302025
0.5,50,128500,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3976596.575,405500,117.148404533281,227.717754667973,5726299.068,457382.986344653,622751.026142,7654.46415013121,25113.0721623165,0,65.3398924264191,8.81985163888889,576.288157301976,3970945.11874219
0.49,49,125930,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3951393.4845,402930,116.776579682429,226.994986649892,5690006.61768,454484.159526143,622751.026142,7523.73970660335,24684.1861790125,0,64.4284986515617,8.81985163888889,568.249799423127,3945820.85760449
0.48,48,123360,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3926190.394,400360,116.403567127301,226.269909924732,5653714.16736,451585.332707633,622751.026142,7394.79581153377,24261.1418903124,0,63.5272268198336,8.81985163888889,560.300715580976,3920695.72098755
0.47,47,120790,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3900987.3035,397790,116.02935541316,225.542502226317,5617421.71704,448686.505889123,622751.026142,7267.60864449762,23843.8611452136,0,62.635947761831,8.81985163888889,552.439766520544,3895569.72006365
0.46,46,118220,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3875784.213,395220,115.653932899953,224.812740928244,5581129.26672,445787.679070613,622751.026142,7142.15480808098,23432.2671805444,0,61.7545346621229,8.81985163888889,544.665833748545,3870442.86580147
0.45,45,115650,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3850581.1225,392650,115.277287758084,224.080603035675,5544836.8164,442888.852252104,622751.026142,7018.41131853236,23026.2845902937,0,60.8828630082005,8.81985163888889,536.977819083125,3845315.16897049
0.44,44,113080,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3825378.032,390080,114.899407964069,223.346065176876,5508544.36608,439990.025433594,622751.026142,6896.35559666112,22625.8392957497,0,60.0208105407969,8.81985163888889,529.374644215687,3820186.6401453
0.43,43,110510,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3800174.9415,387510,114.520281296052,222.609103594518,5472251.91576,437091.198615084,622751.026142,6775.96545897507,22230.8585164238,0,59.1682572055352,8.81985163888889,521.855250284439,3795057.2897098
0.42,42,107940,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3774971.851,384940,114.139895329198,221.869694136709,5435959.46544,434192.371796574,622751.026142,6657.21910905004,21841.2707417357,0,58.3250851058652,8.81985163888889,514.418597459299,3769927.12786123
0.41,41,105370,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3749768.7605,382370,113.758237430938,221.127812247755,5399667.01512,431293.544978064,622751.026142,6540.09512912441,21457.0057034365,0,57.4911784572511,8.81985163888889,507.063664537839,3744796.16461416
